production_companies_list,faturamento_total,faturamento_media,faturamento_menor,faturamento_maior,count,budget_total,budget_media,budget_menor,budget_maior
Fable Pictures,24420923,24420923.0,24420923,24420923,1,10000000,10000000.0,10000000,10000000
Laurel and Hardy Feature Productions,24420923,24420923.0,24420923,24420923,1,10000000,10000000.0,10000000,10000000
Sonesta Films,24420923,24420923.0,24420923,24420923,1,10000000,10000000.0,10000000,10000000
T2 Studio,24366656,24366656.0,24366656,24366656,1,49300000,49300000.0,49300000,49300000
Topkapi Films,24352725,12176362.5,2652725,21700000,2,29500000,14750000.0,5150000,24350000
Peppermint&company,24340302,24340302.0,24340302,24340302,1,5500000,5500000.0,5500000,5500000
Goldmoon Film,24340302,24340302.0,24340302,24340302,1,5500000,5500000.0,5500000,5500000
Imperial Filmproduktion,24271196,24271196.0,24271196,24271196,1,6000000,6000000.0,6000000,6000000
Second Street Films,24265583,24265583.0,24265583,24265583,1,6500000,6500000.0,6500000,6500000
Shree Ashtavinayak Cine Vision,24260000,12130000.0,4600000,19660000,2,13220000,6610000.0,2300000,10920000
Little Lamb Productions,24203303,12101651.5,9423445,14779858,2,11000000,5500000.0,1000000,10000000
Latitude Media,24174885,24174885.0,24174885,24174885,1,18000000,18000000.0,18000000,18000000
Archer Street Productions,24174885,24174885.0,24174885,24174885,1,18000000,18000000.0,18000000,18000000
Thai Occidental Productions,24174885,24174885.0,24174885,24174885,1,18000000,18000000.0,18000000,18000000
Monolith Films,24172201,24172201.0,24172201,24172201,1,30000000,30000000.0,30000000,30000000
Exclusive Films,24172201,24172201.0,24172201,24172201,1,30000000,30000000.0,30000000,30000000
On the Road,24172201,24172201.0,24172201,24172201,1,30000000,30000000.0,30000000,30000000
Point Blank Productions,24172201,24172201.0,24172201,24172201,1,30000000,30000000.0,30000000,30000000
National Geographic,24172201,24172201.0,24172201,24172201,1,30000000,30000000.0,30000000,30000000
A Hot Dog,24159934,24159934.0,24159934,24159934,1,35000000,35000000.0,35000000,35000000
Falcon's Flight,24159872,24159872.0,24159872,24159872,1,18000000,18000000.0,18000000,18000000
Speedie Distribution,24121245,24121245.0,24121245,24121245,1,15000000,15000000.0,15000000,15000000
Steve White Productions,24103594,24103594.0,24103594,24103594,1,6500000,6500000.0,6500000,6500000
Fonds Eurimages du Conseil de l'Europe,24043309,8014436.333333333,5216102,11260366,3,16306764,5435588.0,1031764,8000000
Channel 1+1,24000000,24000000.0,24000000,24000000,1,9500000,9500000.0,9500000,9500000
Telekanal STS,24000000,24000000.0,24000000,24000000,1,9500000,9500000.0,9500000,9500000
Slovo,24000000,24000000.0,24000000,24000000,1,9500000,9500000.0,9500000,9500000
MRP Matila Röhr Productions,24000000,24000000.0,24000000,24000000,1,9500000,9500000.0,9500000,9500000
Art Pictures Group,24000000,24000000.0,24000000,24000000,1,9500000,9500000.0,9500000,9500000
Tessalit Productions,23965006,11982503.0,1001305,22963701,2,17500000,8750000.0,3000000,14500000
Curious Films,23915910,23915910.0,23915910,23915910,1,2500000,2500000.0,2500000,2500000
Great Scott Productions Pty. Ltd.,23914731,23914731.0,23914731,23914731,1,25000000,25000000.0,25000000,25000000
The Turman-Morrissey Company,23875127,23875127.0,23875127,23875127,1,20000000,20000000.0,20000000,20000000
Quad Films,23800000,23800000.0,23800000,23800000,1,17200000,17200000.0,17200000,17200000
SharpSword Films,23737523,23737523.0,23737523,23737523,1,46000000,46000000.0,46000000,46000000
Cappa Defina Productions,23737523,23737523.0,23737523,23737523,1,46000000,46000000.0,46000000,46000000
Lunar Films,23727301,23727301.0,23727301,23727301,1,13000000,13000000.0,13000000,13000000
Red Turtle,23726793,23726793.0,23726793,23726793,1,12000000,12000000.0,12000000,12000000
Calash Corporation,23717291,23717291.0,23717291,23717291,1,50000000,50000000.0,50000000,50000000
GGG,23717291,23717291.0,23717291,23717291,1,50000000,50000000.0,50000000,50000000
Santa Claus Ltd.,23717291,23717291.0,23717291,23717291,1,50000000,50000000.0,50000000,50000000
Adam Fields Productions,23715013,5928753.25,2000000,10115013,4,47000000,11750000.0,4000000,25000000
Film Factory,23714311,7904770.333333333,368430,20381995,3,8094622,2698207.3333333335,1450000,3500000
Hakuhodo,23657438,7885812.666666667,318451,16000000,3,34500000,11500000.0,4500000,25000000
Tezuka Productions,23586259,11793129.5,4035192,19551067,2,25000000,12500000.0,10000000,15000000
Joseph S. Vecchio Entertainment,23562716,23562716.0,23562716,23562716,1,35000000,35000000.0,35000000,35000000
StudioCanal Image,23550000,23550000.0,23550000,23550000,1,19000000,19000000.0,19000000,19000000
ADCB Films,23548738,11774369.0,6593565,16955173,2,18316269,9158134.5,8616269,9700000
Hera Productions,23450000,23450000.0,23450000,23450000,1,21000000,21000000.0,21000000,21000000
Felix Cinematorgrafica,23438120,23438120.0,23438120,23438120,1,17500000,17500000.0,17500000,17500000
Penthouse Films International,23438120,23438120.0,23438120,23438120,1,17500000,17500000.0,17500000,17500000
Bosque Ranch Productions,23384502,23384502.0,23384502,23384502,1,20000000,20000000.0,20000000,20000000
Page 1,23355100,23355100.0,23355100,23355100,1,34000000,34000000.0,34000000,34000000
Blue Parrot Productions,23341568,23341568.0,23341568,23341568,1,6000000,6000000.0,6000000,6000000
NBC Universal Global Networks,23321954,23321954.0,23321954,23321954,1,24000000,24000000.0,24000000,24000000
Filmtribe,23308615,23308615.0,23308615,23308615,1,25000000,25000000.0,25000000,25000000
Bauer Martinez Studios,23220809,5805202.25,521918,9576495,4,75000000,18750000.0,2000000,35000000
Zentropa International Köln,23216430,5804107.5,791867,15946321,4,32200000,8050000.0,4000000,11000000
Zentropa International France,23200385,7733461.666666667,911466,16722143,3,19300000,6433333.333333333,4000000,9800000
Polar Entertainment Corporation,23198989,11599494.5,4398989,18800000,2,14000000,7000000.0,6000000,8000000
The Walsh Company,23198652,23198652.0,23198652,23198652,1,4600000,4600000.0,4600000,4600000
What Just Happened Productions,23198652,23198652.0,23198652,23198652,1,4600000,4600000.0,4600000,4600000
Air Bud Entertainment,23144499,23144499.0,23144499,23144499,1,3000000,3000000.0,3000000,3000000
Timothy Burrill Productions,23096164,7698721.333333333,1132112,20101247,3,50000000,16666666.666666666,5000000,33000000
Belladonna Productions,23090366,4618073.2,33245,13350369,5,27350000,5470000.0,650000,15000000
Aldrich Group,23084264,11542132.0,2075084,21009180,2,70000000,35000000.0,25000000,45000000
Sculptor Media,23076711,23076711.0,23076711,23076711,1,23000000,23000000.0,23000000,23000000
Stonehouse Motion Pictures,23076711,23076711.0,23076711,23076711,1,23000000,23000000.0,23000000,23000000
Seesaw Productions,23076657,23076657.0,23076657,23076657,1,250300,250300.0,250300,250300
Internationale Filmproduktion Stella-del-Sud Third,23000000,23000000.0,23000000,23000000,1,55000000,55000000.0,55000000,55000000
Sony Pictures Films India,23000000,23000000.0,23000000,23000000,1,10000000,10000000.0,10000000,10000000
El Toro Pictures,23000000,23000000.0,23000000,23000000,1,10500000,10500000.0,10500000,10500000
Taza Productions,22963701,22963701.0,22963701,22963701,1,14500000,14500000.0,14500000,14500000
Tassili Films,22963701,22963701.0,22963701,22963701,1,14500000,14500000.0,14500000,14500000
Complete Fiction,22957625,22957625.0,22957625,22957625,1,43000000,43000000.0,43000000,43000000
Domino 17521,22944502,22944502.0,22944502,22944502,1,50000000,50000000.0,50000000,50000000
Babe Film,22939754,7646584.666666667,5216102,11260366,3,20275000,6758333.333333333,5000000,8000000
STUDIO4℃,22935192,11467596.0,4035192,18900000,2,41000000,20500000.0,15000000,26000000
Code Entertainment,22923782,7641260.666666667,3748295,15427192,3,14000000,4666666.666666667,4000000,6000000
La Fabrique 2,22905081,11452540.5,3604598,19300483,2,12700000,6350000.0,5700000,7000000
Chang-Hong Channel Film & Video Co.,22896728,22896728.0,22896728,22896728,1,10000000,10000000.0,10000000,10000000
Filmcoopi Zürich,22889018,22889018.0,22889018,22889018,1,6500000,6500000.0,6500000,6500000
TV3 Television Network Ireland,22889018,22889018.0,22889018,22889018,1,6500000,6500000.0,6500000,6500000
EMC Produktion,22889018,22889018.0,22889018,22889018,1,6500000,6500000.0,6500000,6500000
Sixteen Films,22889018,22889018.0,22889018,22889018,1,6500000,6500000.0,6500000,6500000
Cinéart,22889018,22889018.0,22889018,22889018,1,6500000,6500000.0,6500000,6500000
Portobello Pictures,22865196,11432598.0,7566841,15298355,2,3191044,1595522.0,1031764,2159280
Tooley Productions,22852638,22852638.0,22852638,22852638,1,14000000,14000000.0,14000000,14000000
Internationale Filmproduktion Prometheus,22818256,22818256.0,22818256,22818256,1,8000000,8000000.0,8000000,8000000
Night Light Films,22793213,11396606.5,10000000,12793213,2,9200000,4600000.0,3200000,6000000
Royal Viking Entertainment,22741061,22741061.0,22741061,22741061,1,12000000,12000000.0,12000000,12000000
Topkick Productions,22732628,11366314.0,10500000,12232628,2,9500000,4750000.0,4500000,5000000
Haft Entertainment,22717533,7572511.0,148701,22231658,3,24000000,8000000.0,6000000,10000000
Python (Monty) Pictures Limited,22693634,7564544.666666667,7000,20745728,3,4500000,1500000.0,100000,4000000
Archimede,22633723,11316861.5,5500277,17133446,2,24400000,12200000.0,12000000,12400000
Warner Bros Pictures Italia,22629040,7543013.333333333,4851244,9500000,3,4893418,1631139.3333333333,75000,4000000
Zentropa International Berlin,22622143,11311071.5,5900000,16722143,2,10710000,5355000.0,5210000,5500000
Hugo Productions,22602758,11301379.0,5090852,17511906,2,30000000,15000000.0,10000000,20000000
Grand March Productions,22593409,22593409.0,22593409,22593409,1,8000000,8000000.0,8000000,8000000
Amy Robinson Productions,22593409,22593409.0,22593409,22593409,1,8000000,8000000.0,8000000,8000000
Copenhagen Film Fund,22569347,3224192.4285714286,70821,9100000,7,45748431,6535490.142857143,3400000,9800000
Outside Da Box,22525668,22525668.0,22525668,22525668,1,5000000,5000000.0,5000000,5000000
ODB Films,22525668,22525668.0,22525668,22525668,1,5000000,5000000.0,5000000,5000000
Sneak Preview Productions,22456509,22456509.0,22456509,22456509,1,8500000,8500000.0,8500000,8500000
Fidélité Productions,22441323,22441323.0,22441323,22441323,1,7800000,7800000.0,7800000,7800000
Gimages,22441323,22441323.0,22441323,22441323,1,7800000,7800000.0,7800000,7800000
Headforce Ltd.,22441323,22441323.0,22441323,22441323,1,7800000,7800000.0,7800000,7800000
Sea Breeze Productions Inc.,22433915,22433915.0,22433915,22433915,1,40000000,40000000.0,40000000,40000000
Cinecontender Internationale,22428990,22428990.0,22428990,22428990,1,20000000,20000000.0,20000000,20000000
SE8 Group,22428990,22428990.0,22428990,22428990,1,20000000,20000000.0,20000000,20000000
Laurel Productions,22324573,11162286.5,6000000,16324573,2,8153000,4076500.0,3500000,4653000
Tin Blue,22244207,22244207.0,22244207,22244207,1,12000000,12000000.0,12000000,12000000
Night and Day Pictures,22240529,22240529.0,22240529,22240529,1,1500000,1500000.0,1500000,1500000
Lou Yi,22234479,11117239.5,447741,21786738,2,11300000,5650000.0,1300000,10000000
Matchmaker Films,22231658,22231658.0,22231658,22231658,1,6000000,6000000.0,6000000,6000000
Sunlight Productions,22222308,22222308.0,22222308,22222308,1,20000000,20000000.0,20000000,20000000
Upside Down Films,22187813,22187813.0,22187813,22187813,1,60000000,60000000.0,60000000,60000000
Les Films Upside Down,22187813,22187813.0,22187813,22187813,1,60000000,60000000.0,60000000,60000000
MSM Motion Pictures,22159216,22159216.0,22159216,22159216,1,5500000,5500000.0,5500000,5500000
Two Flints,22123757,11061878.5,7449681,14674076,2,3000000,1500000.0,1000000,2000000
Northern Lights Films,22123757,11061878.5,7449681,14674076,2,3000000,1500000.0,1000000,2000000
Time Antaeus Media Group,22108789,22108789.0,22108789,22108789,1,11715578,11715578.0,11715578,11715578
New Film Studio of Beijing Starlight International Media Co. Ltd.,22108789,22108789.0,22108789,22108789,1,11715578,11715578.0,11715578,11715578
White Eagle,22099847,22099847.0,22099847,22099847,1,24000000,24000000.0,24000000,24000000
Folivari,22053902,7351300.666666667,1266570,19030780,3,24850000,8283333.333333333,3000000,12000000
Cornerstone Films,22047405,11023702.5,3902761,18144644,2,56000000,28000000.0,15000000,41000000
Scimitar Films,22000000,22000000.0,22000000,22000000,1,3000000,3000000.0,3000000,3000000
Ulysses Filmproduktion,21879391,10939695.5,769028,21110363,2,23000000,11500000.0,6000000,17000000
Illusion Entertainment Group,21838298,10919149.0,6682098,15156200,2,44000000,22000000.0,19000000,25000000
Caldix,21821347,21821347.0,21821347,21821347,1,6000000,6000000.0,6000000,6000000
Planet Productions,21770728,7256909.333333333,2260622,14568989,3,6100000,2033333.3333333333,800000,3300000
Cinevista,21744201,21744201.0,21744201,21744201,1,2000000,2000000.0,2000000,2000000
Aviacsa,21744201,21744201.0,21744201,21744201,1,2000000,2000000.0,2000000,2000000
Spelling Entertainment,21706101,21706101.0,21706101,21706101,1,8000000,8000000.0,8000000,8000000
Zentropa International Netherlands,21700000,21700000.0,21700000,21700000,1,5150000,5150000.0,5150000,5150000
Fondo de Inversión y Estímulos al Cine (FIDECINE),21683785,7227928.333333333,5104868,8600000,3,6534793,2178264.3333333335,634793,4000000
Municipal Pictures,21591034,21591034.0,21591034,21591034,1,4000000,4000000.0,4000000,4000000
Palm Drive Productions,21591034,21591034.0,21591034,21591034,1,4000000,4000000.0,4000000,4000000
StoryWorks Productions,21576744,21576744.0,21576744,21576744,1,45000000,45000000.0,45000000,45000000
Wise Owl Media,21576744,21576744.0,21576744,21576744,1,45000000,45000000.0,45000000,45000000
Avon Productions,21570324,10785162.0,4000000,17570324,2,4000000,2000000.0,1000000,3000000
Introvision International,21502976,21502976.0,21502976,21502976,1,11000000,11000000.0,11000000,11000000
Corvus Corax Productions,21500813,21500813.0,21500813,21500813,1,25000000,25000000.0,25000000,25000000
Ethea Entertainment,21500000,21500000.0,21500000,21500000,1,14000000,14000000.0,14000000,14000000
Mysterious Arts,21486757,21486757.0,21486757,21486757,1,10000000,10000000.0,10000000,10000000
Agência Nacional do Cinema - ANCINE,21465415,10732707.5,1620436,19844979,2,27000000,13500000.0,2000000,25000000
EDI,21448830,21448830.0,21448830,21448830,1,1000000,1000000.0,1000000,1000000
Pointe Studios,21409028,21409028.0,21409028,21409028,1,14000000,14000000.0,14000000,14000000
Sneak Preview Entertainment,21409028,21409028.0,21409028,21409028,1,14000000,14000000.0,14000000,14000000
Blinder Films,21401949,21401949.0,21401949,21401949,1,3000000,3000000.0,3000000,3000000
Revolver Amsterdam,21401949,21401949.0,21401949,21401949,1,3000000,3000000.0,3000000,3000000
Olympus Pictures,21398085,7132695.0,1941667,14311701,3,15200000,5066666.666666667,3200000,7000000
Mindfire Entertainment,21381353,10690676.5,7563172,13818181,2,33000000,16500000.0,12000000,21000000
Caramel Films,21329613,7109871.0,2351359,11131254,3,66900000,22300000.0,11000000,30000000
France 3,21307194,7102398.0,1300000,14000000,3,57000000,19000000.0,6000000,33000000
Dualstar Productions,21289826,21289826.0,21289826,21289826,1,30000000,30000000.0,30000000,30000000
Alliance Entertainment,21260494,7086831.333333333,3500000,13539458,3,7200000,2400000.0,2000000,2700000
Polar Film,21200000,21200000.0,21200000,21200000,1,9700000,9700000.0,9700000,9700000
Sunn Classic Pictures,21200000,21200000.0,21200000,21200000,1,5000000,5000000.0,5000000,5000000
Wayans Alvarez Productions,21164799,21164799.0,21164799,21164799,1,20000000,20000000.0,20000000,20000000
Mindhunters (UK) Limited,21148829,21148829.0,21148829,21148829,1,27000000,27000000.0,27000000,27000000
Tonna Oy,21148829,21148829.0,21148829,21148829,1,27000000,27000000.0,27000000,27000000
Outlaw Victoria Productions Inc.,21148829,21148829.0,21148829,21148829,1,27000000,27000000.0,27000000,27000000
Mindhunters Productie BV,21148829,21148829.0,21148829,21148829,1,27000000,27000000.0,27000000,27000000
Filmförderung Hamburg Schleswig-Holstein,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Red Star 3D,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Squeeze,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Cantilever Media,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Narrativia,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Studio Rakete,21110363,21110363.0,21110363,21110363,1,17000000,17000000.0,17000000,17000000
Court 13 Pictures,21107746,21107746.0,21107746,21107746,1,1800000,1800000.0,1800000,1800000
Department of Motion Pictures,21107746,21107746.0,21107746,21107746,1,1800000,1800000.0,1800000,1800000
Pandora Cinema,21106372,5276593.0,898365,7566841,4,20531764,5132941.0,1031764,7500000
Sciarlò,21057208,21057208.0,21057208,21057208,1,9000000,9000000.0,9000000,9000000
AG Studios NYC,21029340,21029340.0,21029340,21029340,1,6000000,6000000.0,6000000,6000000
CAA Media Finance,21029340,21029340.0,21029340,21029340,1,6000000,6000000.0,6000000,6000000
Les Films du Cru,21029340,21029340.0,21029340,21029340,1,6000000,6000000.0,6000000,6000000
Simon Friend Entertainment,21029340,21029340.0,21029340,21029340,1,6000000,6000000.0,6000000,6000000
Viewfinder,21029340,21029340.0,21029340,21029340,1,6000000,6000000.0,6000000,6000000
Creepshow Films Inc.,21028755,21028755.0,21028755,21028755,1,8000000,8000000.0,8000000,8000000
Persistent Entertainment,21017514,5254378.5,24487,18618284,4,98000000,24500000.0,17000000,30000000
Longview Entertainment,21011500,21011500.0,21011500,21011500,1,17000000,17000000.0,17000000,17000000
NBB Unit One Film Partners,21011500,21011500.0,21011500,21011500,1,17000000,17000000.0,17000000,17000000
Good Films Collective,21011110,21011110.0,21011110,21011110,1,28000000,28000000.0,28000000,28000000
Optional Pictures,21009180,21009180.0,21009180,21009180,1,45000000,45000000.0,45000000,45000000
Film and General Productions,21001563,21001563.0,21001563,21001563,1,12000000,12000000.0,12000000,12000000
Medusa Produzione,21001563,21001563.0,21001563,21001563,1,12000000,12000000.0,12000000,12000000
Cineritmo,21001563,21001563.0,21001563,21001563,1,12000000,12000000.0,12000000,12000000
Jerry Gershwin Productions,21000000,21000000.0,21000000,21000000,1,7700000,7700000.0,7700000,7700000
Elliott Kastner Productions,21000000,21000000.0,21000000,21000000,1,7700000,7700000.0,7700000,7700000
UBU Film,20967660,20967660.0,20967660,20967660,1,10400000,10400000.0,10400000,10400000
H Plus Communication,20967660,20967660.0,20967660,20967660,1,10400000,10400000.0,10400000,10400000
National Film Finance Corporation (NFFC),20966644,20966644.0,20966644,20966644,1,3000000,3000000.0,3000000,3000000
Curzon Film Distributors,20966644,20966644.0,20966644,20966644,1,3000000,3000000.0,3000000,3000000
Altavista Films,20908467,20908467.0,20908467,20908467,1,2000000,2000000.0,2000000,2000000
Zeta Film (MX),20908467,20908467.0,20908467,20908467,1,2000000,2000000.0,2000000,2000000
Cinelamda Internationale Filmproduktionsgesellschaft,20901859,20901859.0,20901859,20901859,1,7000000,7000000.0,7000000,7000000
Entache Entertainment,20901859,20901859.0,20901859,20901859,1,7000000,7000000.0,7000000,7000000
Creep Entertainment International,20901859,20901859.0,20901859,20901859,1,7000000,7000000.0,7000000,7000000
Devil's Rejects Inc.,20901859,20901859.0,20901859,20901859,1,7000000,7000000.0,7000000,7000000
Film Commission Torino Piemonte,20843609,6947869.666666667,3119957,11260366,3,15775000,5258333.333333333,3500000,7275000
Douglas & Lewis Productions,20800000,20800000.0,20800000,20800000,1,9000000,9000000.0,9000000,9000000
John Frankenheimer Productions Inc.,20800000,20800000.0,20800000,20800000,1,9000000,9000000.0,9000000,9000000
Joel Productions,20800000,20800000.0,20800000,20800000,1,9000000,9000000.0,9000000,9000000
Cherokee Productions,20800000,20800000.0,20800000,20800000,1,9000000,9000000.0,9000000,9000000
Blue Sea Productions,20796847,20796847.0,20796847,20796847,1,25000000,25000000.0,25000000,25000000
Samson Films,20710513,20710513.0,20710513,20710513,1,160000,160000.0,160000,160000
Nippon Herald Films,20685627,10342813.5,8826094,11859533,2,19500005,9750002.5,8000000,11500005
Cambridge Productions,20659423,20659423.0,20659423,20659423,1,3500000,3500000.0,3500000,3500000
Snowy River Investment Pty. Ltd.,20659423,20659423.0,20659423,20659423,1,3500000,3500000.0,3500000,3500000
Michael Edgley International,20659423,20659423.0,20659423,20659423,1,3500000,3500000.0,3500000,3500000
Christmas Tree Films,20653717,20653717.0,20653717,20653717,1,3300000,3300000.0,3300000,3300000
The Bureau,20648774,6882924.666666667,484592,17709155,3,30120000,10040000.0,120000,22000000
Les Films du Kiosque,20629152,6876384.0,26144,13935410,3,30000000,10000000.0,5000000,14000000
Punch 21 Productions,20627372,20627372.0,20627372,20627372,1,16000000,16000000.0,16000000,16000000
Hart-Sharp Entertainment,20624893,6874964.333333333,1548955,11540607,3,28500000,9500000.0,2000000,20000000
TVM Studios,20601987,20601987.0,20601987,20601987,1,15000000,15000000.0,15000000,15000000
Sony Pictures Home Entertainment,20601987,20601987.0,20601987,20601987,1,15000000,15000000.0,15000000,15000000
Bavaria Film International,20587176,10293588.0,9801375,10785801,2,7000000,3500000.0,3000000,4000000
Cenoura Filmes,20552094,20552094.0,20552094,20552094,1,2000000,2000000.0,2000000,2000000
RioFilme,20552094,20552094.0,20552094,20552094,1,2000000,2000000.0,2000000,2000000
Iron Fists,20546518,20546518.0,20546518,20546518,1,15000000,15000000.0,15000000,15000000
A Contracorriente Films,20525726,6841908.666666667,1440000,12055868,3,11100000,3700000.0,1700000,5400000
Independent,20525387,10262693.5,9760104,10765283,2,12000000,6000000.0,5000000,7000000
Subzero Film Entertainment,20509289,10254644.5,7500000,13009289,2,14700000,7350000.0,6200000,8500000
MeMo Films,20483796,10241898.0,6348889,14134907,2,38000000,19000000.0,18000000,20000000
Da Ma Produzione,20424259,20424259.0,20424259,20424259,1,1100000,1100000.0,1100000,1100000
Shining Excalibur Films,20412216,20412216.0,20412216,20412216,1,1500000,1500000.0,1500000,1500000
Independent Pictures,20412216,20412216.0,20412216,20412216,1,1500000,1500000.0,1500000,1500000
Costa Films,20401626,10200813.0,5642478,14759148,2,24000000,12000000.0,4000000,20000000
The Selznick Studio,20400000,20400000.0,20400000,20400000,1,6000000,6000000.0,6000000,6000000
Oscilloscope,20392928,2265880.888888889,19084,10765283,9,23937000,2659666.6666666665,17000,7000000
Matanza Cine,20381995,20381995.0,20381995,20381995,1,3500000,3500000.0,3500000,3500000
VFX Boat,20381995,20381995.0,20381995,20381995,1,3500000,3500000.0,3500000,3500000
Chargeurs,20350754,20350754.0,20350754,20350754,1,45000000,45000000.0,45000000,45000000
Vegas Productions,20350754,20350754.0,20350754,20350754,1,45000000,45000000.0,45000000,45000000
High Sierra Carpeting,20342161,20342161.0,20342161,20342161,1,10000000,10000000.0,10000000,10000000
Film Office,20308772,20308772.0,20308772,20308772,1,20000000,20000000.0,20000000,20000000
Spooky Tooth Productions,20308772,20308772.0,20308772,20308772,1,20000000,20000000.0,20000000,20000000
Filmhaus,20300385,20300385.0,20300385,20300385,1,36000000,36000000.0,36000000,36000000
Janet Yang Productions,20300385,20300385.0,20300385,20300385,1,36000000,36000000.0,36000000,36000000
Mediastream Dritte Film,20298207,20298207.0,20298207,20298207,1,35000000,35000000.0,35000000,35000000
Sunac Pictures,20282422,20282422.0,20282422,20282422,1,60000000,60000000.0,60000000,60000000
Kennedy Miller Mitchell,20282422,20282422.0,20282422,20282422,1,60000000,60000000.0,60000000,60000000
Babbo Inc.,20271129,20271129.0,20271129,20271129,1,15000000,15000000.0,15000000,15000000
Wanda Visión,20270166,10135083.0,53086,20217080,2,43866397,21933198.5,8000000,35866397
Good Lap Production,20258904,20258904.0,20258904,20258904,1,3400000,3400000.0,3400000,3400000
La Banque Postale Image 7,20258904,20258904.0,20258904,20258904,1,3400000,3400000.0,3400000,3400000
Kasso Productions,20256701,10128350.5,4956701,15300000,2,47600000,23800000.0,2600000,45000000
Conseil Régional de Franche-Comté,20217080,20217080.0,20217080,20217080,1,35866397,35866397.0,35866397,35866397
Axon Films,20211394,20211394.0,20211394,20211394,1,20000000,20000000.0,20000000,20000000
Classic,20205757,20205757.0,20205757,20205757,1,12000000,12000000.0,12000000,12000000
Precious Yield,20205757,20205757.0,20205757,20205757,1,12000000,12000000.0,12000000,12000000
Briarcliff Entertainment,20159918,10079959.0,6262663,13897255,2,50000000,25000000.0,20000000,30000000
Películas Pendelton,20121318,20121318.0,20121318,20121318,1,4920975,4920975.0,4920975,4920975
Realizaciones Sol S.A.,20121318,20121318.0,20121318,20121318,1,4920975,4920975.0,4920975,4920975
KNM,20105219,6701739.666666667,1088907,13143056,3,48940457,16313485.666666666,2940457,38000000
SFP,20101247,20101247.0,20101247,20101247,1,12000000,12000000.0,12000000,12000000
Potterton Productions,20100000,20100000.0,20100000,20100000,1,9300000,9300000.0,9300000,9300000
Andrew Lauren Productions,20085775,6695258.333333333,2133033,11098131,3,12933400,4311133.333333333,1500000,8933400
American Films,20080020,20080020.0,20080020,20080020,1,25530000,25530000.0,25530000,25530000
TCYK North Productions,20014680,20014680.0,20014680,20014680,1,2000000,2000000.0,2000000,2000000
Silver Screen Partners,20000000,20000000.0,20000000,20000000,1,14000000,14000000.0,14000000,14000000
Black Dog Jib Productions,20000000,20000000.0,20000000,20000000,1,10000000,10000000.0,10000000,10000000
MHF Erste Academy Film GmbH & Co. Produktions KG,19924033,19924033.0,19924033,19924033,1,70000000,70000000.0,70000000,70000000
Miko Productions,19910002,19910002.0,19910002,19910002,1,7500000,7500000.0,7500000,7500000
Breathless Associates,19910002,19910002.0,19910002,19910002,1,7500000,7500000.0,7500000,7500000
The Production Company,19905359,19905359.0,19905359,19905359,1,5000000,5000000.0,5000000,5000000
Martin Poll Productions,19905359,19905359.0,19905359,19905359,1,5000000,5000000.0,5000000,5000000
Paragon Films Ltd.,19887861,9943930.5,8332431,11555430,2,20000000,10000000.0,10000000,10000000
Butcher's Run Productions,19868354,19868354.0,19868354,19868354,1,5000000,5000000.0,5000000,5000000
Bee Vine Pictures,19844979,19844979.0,19844979,19844979,1,25000000,25000000.0,25000000,25000000
Fiat,19844979,19844979.0,19844979,19844979,1,25000000,25000000.0,25000000,25000000
Cinema Investment,19844979,19844979.0,19844979,19844979,1,25000000,25000000.0,25000000,25000000
20th Century Fox Brazil,19844979,19844979.0,19844979,19844979,1,25000000,25000000.0,25000000,25000000
BNDES,19844979,19844979.0,19844979,19844979,1,25000000,25000000.0,25000000,25000000
Omega Project,19840484,6613494.666666667,80631,19400000,3,2850010,950003.3333333334,250000,1400010
Rhino Films,19818613,9909306.5,9138338,10680275,2,19500000,9750000.0,1000000,18500000
Out Of The Box Features,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Kandor Graphics,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Consejería de Cultura,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Audiovisual Aval SGR,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Turismo y Deporte,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Gobierno de Cantabria,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Aliwood Mediterráneo Producciones,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Timeless Films,19799759,19799759.0,19799759,19799759,1,22000000,22000000.0,22000000,22000000
Slow Pony Pictures,19754272,19754272.0,19754272,19754272,1,20000000,20000000.0,20000000,20000000
Dorica Film,19734940,19734940.0,19734940,19734940,1,11000000,11000000.0,11000000,11000000
Stoney Lake Entertainment,19682924,19682924.0,19682924,19682924,1,16000000,16000000.0,16000000,16000000
Wandering Star Pictures,19652185,19652185.0,19652185,19652185,1,45000000,45000000.0,45000000,45000000
Avalon Pictures,19643086,19643086.0,19643086,19643086,1,40000000,40000000.0,40000000,40000000
